The last match: YP eSuba 14 16 10th December 2015
  6.95033e-310 -1
1337  1393.2 40
SinisterGG  1058.92 4
Subzero  1235.34 8
Singapore  1132.78 5
Leader-1  1113 9
Titan  1436.29 349
Rebels  1235.26 26
Vengeance  1100.75 2
AstralAuthority  1236.81 33
Fraternitas  1311.8 111
B2A  1171.44 4
DeathNote  1157.76 2
OVP  1325.86 10
SpaceSoldiers  1308.02 172
eXplosive  1262.41 23
ACES  1152.03 56
SKStaff  1086.24 4
Forbidden  1159.34 4
228  1095.91 4
FUGL?  1089.36 10
WaveForm  1033.92 4
Equilibrium  1171.19 3
KIYF  1105.23 14
BOXR  1122.93 3
KoNSweden  1300.63 11
MMM  1217.8 3
Wizards  1196.76 14
EURONICS  1223.49 10
Torpedo  1281.22 59
Zomblerz  1107.1 3
puta  1220.28 19
Expendables  1049.78 4
JustDealWithIt  1079.37 5
myRevenge  1228.21 26
Skyfire  1017.72 13
fnatic  1571.41 400
IGG  1324.15 12
Forge  1055.55 4
Vault  1180.65 3
INSHOCK  1327.22 56
malefiQ  1111.4 14
ZZCY  1049.87 6
PCBox  1143.08 2
Lemondogs  1154.2 10
Tunisia  1198.8 9
ajuri  1150.33 2
iGamerzfe  1061.21 4
SKDC  1197.68 200
Arcade  1364.19 28
Supreme  1243.78 2
verying  1073.6 7
UESmash  1297.49 6
MALIK  1119.08 8
3sUP  1188.97 176
Phenomenon  1304.34 83
Vination  1137.2 19
NexusStorm  1247.75 9
Liquid8  1125.14 3
NTC  1217.46 7
Levitate  1159.87 3
Fredde  1167.02 1
CeX  1135.76 12
eXtasis  1206.48 3
Canada  1317.91 15
Luminosity  1458.58 163
Elysium  1034.62 4
EnVyUs  1528.42 394
KeydStars  1311.14 27
Groovy  1361.11 9
GoldenVipersB  1076.03 6
YOUROWNMIRACLE  1132.13 6
Ignite  1327.72 7
TheHuggies  1195.46 4
Seelachs  1186.6 3
BulletsRage.Pro  1190.32 9
FlipSid3  1376.45 388
Skillz.lvStaff  1248.51 6
ALSEN  1196.35 9
xfunction  1222.34 14
TeamkRYSTAL  1153.7 3
Germany  1283.73 14
unKnights  1115.23 6
Braveorwarrior  1044.83 10
SPLYCE  1308.04 67
compLexity  1273.64 194
Dexterity  1247.46 5
Venom  1102.04 10
HEAT  1056.15 7
uFrag  1137.69 2
DEMGUNZ  1177.45 3
CPHWolves  1324.35 144
Trifecta  1304.44 8
fm-eSports  1109.08 49
AWTR  1230.47 3
XPCStaff  1231.02 12
summa.gg  1086.79 5
GREATONE-LINERS  1212.89 2
Greece  1134.9 2
eXanimo  1078.91 12
BalkanBears  1156.65 2
Karma  1286.92 19
seven2007  1287.16 4
THEPANTHERS  1111.54 2
kRoGhsKanonEr  1132.14 2
ZAC  1115.06 2
Druidz  1185.95 1
Pantoms  1160.33 1
GEDUKT  1314.27 6
Brutality  1176.42 1
Vietnam  1404.94 7
e9  1123.95 2
Freaks4UStaff  1109.62 10
Publiclir.se  1271.32 136
Enervate  1348.17 36
DireWolves  1360.35 24
Slovenia  1169.12 4
Gaming.dkStaff  1156.48 8
Devious  1160.33 1
Violetdreams  1232.19 1
QuetzaL  1136.99 2
PerilousRAGE  1041.92 6
Evokate  1146.84 2
WEGOTGAME  1360.12 6
Fragbite.seStaff  1269.02 22
SwagSilicone  1221.17 10
garis  1131.77 2
AbsoluteTerror  1198.28 3
Finland  1347.99 29
WinOut.net  1170.64 42
MTW  1197.93 3
Games4u  1297.53 20
TST  1066.34 7
Deponeret  1172.7 10
Brazil  1432.53 8
BountyHunters  1092.07 3
Hajvani  1157.33 8
EZskins.com  1186.45 21
MaximumEffort  1194.95 8
GLG  987.854 12
FiveGuys  1203.55 6
Ayedog  1197.82 2
97club  1128.52 8
Croatia  1127.29 5
BLITZKRIEG  1200 1
NewEra  1117.08 27
burniNg  1193.52 3
Italy  1189.55 3
1.Holdet  1158.27 2
uberg33ks  1212.52 5
ROCCAT  1139.13 34
PugsnotDrugs  1059.98 3
LosJefes  1223.98 12
LondonConspiracy  1407.37 53
AlienTech.Black  1094.7 13
Ascendancy  1082.97 12
ImperialDragons  1217.7 8
PGLStaff  1115.82 2
Adaptation  1187.17 5
SLTVStaff  1340.29 19
OMNIPOTENCE  1135.4 1
Argentina  1309.43 8
DICKHOUSE  1163.08 12
Ukraine  1115.7 7
dope  1042.47 21
Dexterityfe  1170.57 3
TRIDENT  996.373 20
EZPZ_LS  1255.66 24
EGB.comStaff  1191.86 3
Bravado  1386.51 17
LQQMPP  1258.87 3
CzechRepublic  1237.86 3
ALTERNATE  1089.72 7
LECARTEL  1113.01 3
Mortality  1203.12 40
CSGO-Saloon  1270.27 20
Ancients  1152.07 2
Zbrilo  1069.02 4
FTW  1137.51 8
Badger  1069.49 10
EYESports  1165.45 16
TeamLessNana  1119.28 3
FenixFrost  1122.61 3
Misery  1136.45 2
Vexed  1276.82 89
SouthKorea  1128.6 3
Arenazero.netStaff  1130.84 6
99damage.deStaff  1243.03 13
unu.AiN  1307.76 21
ggrabb  1200 1
NapalmeSports  1139.94 6
dignitas  1434.8 447
inchk1ng  1418.37 15
Earthquake  1078.95 4
k1ck  1250.21 168
ExAequo  1434.78 12
KILLERFISH  1380.89 178
TEMPEST  1119.71 2
VegaSquadron  1256.79 121
IHAVEADREAM  1177.97 3
Hyphen  1196.52 4
Pulse  1164.71 5
31337  1178.27 12
Blight  1202.75 5
Panthers  1240.05 11
mmmm  1273.34 1
myXMGStaff  1411.03 17
Airless  1190.79 4
Rock  1322.63 77
AllGamers  1211.43 12
Noble  1047.88 24
Conquest  1377.53 269
LDLCBlue  1198.18 71
Mexico  1040.21 9
Renegades  1469.19 96
ESC  1256 186
TES  1240.74 13
PARTY  1214.2 14
FLUGGENKLINGENKEIN  1133.81 2
DISMAY  1152.57 5
FONA  1157.27 4
GreyFace  1259.41 27
CSGL  1333.58 346
HEADSHOTBG  1248.18 52
CyberZen  1412.07 21
Epsilon  1281.53 122
Romania  1152.21 9
Macedonia  1147.64 2
Airwalkers  1140.8 3
eXeS  1200.44 2
eNergy  1195.77 16
SkitLite  1129.1 5
WinneR  1244.02 5
NoProblem!  1259.85 61
PiTER  1293.96 249
Games4ufe  1043.58 26
Latvia  1155.26 7
Platinium  1168.78 3
EuropeanMisfits  1171.98 14
TheMongolz  1354.12 35
Pries  1125.88 35
Na`ViStaff  1260.66 12
China  1372.23 5
ALTERNATEfe  1125.55 5
OffConstantly  1317.43 9
Denial  1246.15 57
Acer  1242.71 96
sensational.kr  1196.94 2
Choke  1099.52 19
DeToNator  1097.07 8
myKPV  1221.37 76
CAZ  1235.16 28
KBP  1126.9 4
gBots  1346.06 19
FreeTransfer  1224.65 6
GamePub  1126.3 10
IWasn'tTrying  1149.1 2
R5  1173.39 7
jQntefabrikkeN  1183.42 11
MONARCHS  1137.5 7
HKES  1215.03 5
ConcussioN  1248.47 1
